meeting,date,flag,flag_note,flag_source,intervention_id,speaker,speaker_clean,time,time_start,time_end,time_delta,tape,side,note,orig_lang,text,text_english
1,9/13/1988,OK,,"T, P, B",1,The Chairman,Jaques Delors,000 - 60,0,60,60,1,1,,EN,"First of all I should like to thank M. Lamfalussy and the BIS for having agreed to help us to run these meetings. We have to end at 17.30 in order to enable all members of the Committee to be present at the time the conclusions will be drawn before the next meeting. I shall very briefly discuss one or two things. First of all we shall formerly appoint the two rapporteurs. This is a matter that we have discussed with each member of the group and I wish to ask you to confirm your agreement to the appointment of Mr. Gunter Baer and Mr. Tommaso Padoa-Schioppa as rapporteurs. We are going to ask them to come in. They will keep the minutes of the meeting, minutes which will be kept here at the BIS, they will not be made generally available. I will put a technical question to you: would you agree to the discussions being recorded and to being kept in great secrecy here at the BIS or are you against recording? I leave the decision to you. It is obvious that the rapporteurs will note the main points, but some things may escape their attention and it would be very helpful to them if we had a tape which they could refer to, a tape which would be kept here confidentially. Would you agree to this, Mr. Governors? Thirdly, I suggest that we issue neither a press statement, nor do we hold a press conference, not even for your Chairman. A press statement might be useful but I am afraid that that would probably waste an hour and half here amongst ourselves trying to settle on such a statement, even if it were to be only fifteen lines long. Therefore we are going to work and if anybody puts any question to me I shall say that we work in a good atmosphere, that we are all aware of the mandate given us by the Heads of Government. Never are we going to give the impression that there is disagreement amongst us. We are a team, we do teamwork to serve our Masters and that is all. Were we a group of academics, doubtlessly there might be differences of opinion, but we are not going to dramatise them and we are not going to turn the meeting of this group into a series, like Dynasty or Dallas - and one that would be less attractive too. Fourthly, I should like to emphasise the highly confidential nature of our meetings.","First of all I should like to thank M. Lamfalussy and the BIS for having agreed to help us to run these meetings. We have to end at 17.30 in order to enable all members of the Committee to be present at the time the conclusions will be drawn before the next meeting. I shall very briefly discuss one or two things. First of all we shall formerly appoint the two rapporteurs. This is a matter that we have discussed with each member of the group and I wish to ask you to confirm your agreement to the appointment of Mr. Gunter Baer and Mr. Tommaso Padoa-Schioppa as rapporteurs. We are going to ask them to come in. They will keep the minutes of the meeting, minutes which will be kept here at the BIS, they will not be made generally available. I will put a technical question to you: would you agree to the discussions being recorded and to being kept in great secrecy here at the BIS or are you against recording? I leave the decision to you. It is obvious that the rapporteurs will note the main points, but some things may escape their attention and it would be very helpful to them if we had a tape which they could refer to, a tape which would be kept here confidentially. Would you agree to this, Mr. Governors? Thirdly, I suggest that we issue neither a press statement, nor do we hold a press conference, not even for your Chairman. A press statement might be useful but I am afraid that that would probably waste an hour and half here amongst ourselves trying to settle on such a statement, even if it were to be only fifteen lines long. Therefore we are going to work and if anybody puts any question to me I shall say that we work in a good atmosphere, that we are all aware of the mandate given us by the Heads of Government. Never are we going to give the impression that there is disagreement amongst us. We are a team, we do teamwork to serve our Masters and that is all. Were we a group of academics, doubtlessly there might be differences of opinion, but we are not going to dramatise them and we are not going to turn the meeting of this group into a series, like Dynasty or Dallas - and one that would be less attractive too. Fourthly, I should like to emphasise the highly confidential nature of our meetings."
1,9/13/1988,OK,,"T, P",2,Karl-Otto Pöhl,Karl Otto Pöhl,60 - 73,60,73,13,1,1,,EN,"We should never quote each other. Nobody should quote the position of anybody in this group, but on the other hand, of course we should feel free to express our own views on the subject, but never referring to these meetings. I think that should be the basic rule for our co-operation. It is unavoidable, at least for one or the other, to make remarks or to speak on the substance of the discussions at one or other occasion, but never quote each other.","We should never quote each other. Nobody should quote the position of anybody in this group, but on the other hand, of course we should feel free to express our own views on the subject, but never referring to these meetings. I think that should be the basic rule for our co-operation. It is unavoidable, at least for one or the other, to make remarks or to speak on the substance of the discussions at one or other occasion, but never quote each other."
1,9/13/1988,OK,,T,3,Chairman,Jaques Delors,74 - 76,74,76,2,1,1,,EN,Each one will speak on his own behalf and nobody will repeat the views of another member of the Committee.,Each one will speak on his own behalf and nobody will repeat the views of another member of the Committee.
1,9/13/1988,OK,,T,4,Mr. M.F. Doyle ,Maurice F. Doyle,76 - 78,76,78,2,1,1,,EN,"Just one question. Does that mean that we don't get a copy of the minutes ourselves, individually?","Just one question. Does that mean that we don't get a copy of the minutes ourselves, individually?"
1,9/13/1988,OK,,"T, P",5,The Chairman,Jaques Delors,78 - 84,78,84,6,1,1,,EN,"You will be able to look them up and read them here. You can even listen to part of the tape if you wish, but here.","You will be able to look them up and read them here. You can even listen to part of the tape if you wish, but here."
1,9/13/1988,OK,,"T, P",6,Herrn K.-O. Pšhl,Karl Otto Pöhl,84 - 90,84,90,6,1,1,,EN,"I would also suggest that even you as our Chairman are not obliged to report to the Council of Ministers, because we are in the process of discussions and it would be premature to make any reports before we have finalised our own report.","I would also suggest that even you as our Chairman are not obliged to report to the Council of Ministers, because we are in the process of discussions and it would be premature to make any reports before we have finalised our own report."
1,9/13/1988,OK,,T,7,The Chairman,Jaques Delors,90 - 96,90,96,6,1,1,,EN,Our duty is to have one or two meetings with the European Parliament but purely for formal reasons and I do not intend to deliver any subject discussed inside the Committee.,Our duty is to have one or two meetings with the European Parliament but purely for formal reasons and I do not intend to deliver any subject discussed inside the Committee.
1,9/13/1988,OK,,"T, P",8,The Chairman,Jaques Delors,96 - 131,96,131,35,1,1,,EN,"Finally, the fourth point on which I seek you opinion is this. Our work here is entirely confidential and this confidentiality has to be protected. Confidentiality is very well protected as far as the meetings of the Committee of Governors are and we would like this Committee to benefit from the same confidentiality. Unfortunately two days ago there was a press article which revealed part of the contents of one of the working papers and this is a great pity. We really have to be disciplined if we wish to prevent the members of the press from speculating about what we are likely to say. If there is going to be an open political discussion, this will take place at the European Council level and before that there is no such discussion needed. In particular, we should not make available parts of our documents to the press.

Finally, my last point. I received a letter from M. Giscard d'Estaing on behalf of the Committee for European Monetary Union and he says that, together with his Co-Chairman, Mr. Helmut Schmidt, and the Executive Secretariat of his Committee, he would like to be heard by us. Now, there are one or two things you can decide. Either you accept the idea or M. Godeaux, the Chairman of the Committee of Governors, and another member assisting me, I would receive Mr. Schmidt and Mr. Giscard d'Estaing to a dinner and I would listen to what they have to say. What do you prefer? What are your feelings?
","Finally, the fourth point on which I seek you opinion is this. Our work here is entirely confidential and this confidentiality has to be protected. Confidentiality is very well protected as far as the meetings of the Committee of Governors are and we would like this Committee to benefit from the same confidentiality. Unfortunately two days ago there was a press article which revealed part of the contents of one of the working papers and this is a great pity. We really have to be disciplined if we wish to prevent the members of the press from speculating about what we are likely to say. If there is going to be an open political discussion, this will take place at the European Council level and before that there is no such discussion needed. In particular, we should not make available parts of our documents to the press.

Finally, my last point. I received a letter from M. Giscard d'Estaing on behalf of the Committee for European Monetary Union and he says that, together with his Co-Chairman, Mr. Helmut Schmidt, and the Executive Secretariat of his Committee, he would like to be heard by us. Now, there are one or two things you can decide. Either you accept the idea or M. Godeaux, the Chairman of the Committee of Governors, and another member assisting me, I would receive Mr. Schmidt and Mr. Giscard d'Estaing to a dinner and I would listen to what they have to say. What do you prefer? What are your feelings?
"
1,9/13/1988,OK,,T,9,Dr. W.F. Duisenberg,Wim Duisenberg,131 - 134,131,134,3,1,1,,EN,I prefer that this Committee does not go into hearings. Now it is Giscard and Schmidt and then it will be someone else. If you are to be so polite as to receive this elderly statesman it would be entirely agreeable to me.,I prefer that this Committee does not go into hearings. Now it is Giscard and Schmidt and then it will be someone else. If you are to be so polite as to receive this elderly statesman it would be entirely agreeable to me.
1,9/13/1988,OK,,T,10,Herrn K.-O. Pöhl,Karl Otto Pöhl,134 - 136,134,136,2,1,1,,EN,On an entirely private basis of course and you don't charge us with the expenses for the dinner!,On an entirely private basis of course and you don't charge us with the expenses for the dinner!
