,speaker_clean,m_Alexandre Lamfalussy,m_Carlo Azeglio Ciampi,m_Demetrios Chalikias,m_Erik Hoffmeyer,m_Frans Andriessen,m_Jacques Delors,m_Jacques de Larosière,m_Jean Godeaux,m_José Alberto Tavares Moreira,m_Karl Otto Pöhl,m_Mariano Rubio,m_Maurice F. Doyle,m_Miguel Boyer,m_Niels Thygesen,m_Pierre Jaans,m_Robin Leigh-Pemberton,m_Wim Duisenberg
0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Alexandre Lamfalussy,0,0,0,0,1,3,3,1,0,1,0,0,0,0,1,2,3
2,Carlo Azeglio Ciampi,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0
3,Demetrios Chalikias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Erik Hoffmeyer,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
5,Frans Andriessen,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1
6,Jacques Delors,3,1,0,1,1,5,6,2,0,12,1,5,3,3,5,1,9
7,Jacques de Larosière,7,3,0,5,0,7,2,1,0,8,1,1,3,2,0,2,7
8,Jean Godeaux,0,1,0,0,1,2,2,0,0,1,0,0,0,1,0,0,0
9,José Alberto Tavares Moreira,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
10,Karl Otto Pöhl,6,3,0,4,0,23,6,1,0,1,3,1,2,3,1,6,4
11,Mariano Rubio,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
12,Maurice F. Doyle,1,1,0,1,0,3,2,1,0,4,0,0,1,1,1,2,1
13,Miguel Boyer,1,1,0,0,0,5,1,0,0,2,0,3,0,1,0,0,0
14,Niels Thygesen,1,1,0,3,0,2,3,0,0,1,0,1,0,0,0,2,0
15,Pierre Jaans,2,0,0,0,0,0,2,0,0,1,0,0,0,1,0,2,0
16,Robin Leigh-Pemberton,1,1,0,1,0,7,3,1,0,3,0,1,1,1,0,0,2
17,Wim Duisenberg,2,1,0,1,1,7,6,0,0,3,0,1,1,1,0,4,0
