Source,Target,weight
?,Alexandre Lamfalussy,0
Alexandre Lamfalussy,Alexandre Lamfalussy,0
Carlo Azeglio Ciampi,Alexandre Lamfalussy,0
Demetrios Chalikias,Alexandre Lamfalussy,0
Erik Hoffmeyer,Alexandre Lamfalussy,0
Frans Andriessen,Alexandre Lamfalussy,1
Jacques Delors,Alexandre Lamfalussy,3
Jacques de Larosière,Alexandre Lamfalussy,7
Jean Godeaux,Alexandre Lamfalussy,0
José Alberto Tavares Moreira,Alexandre Lamfalussy,0
Karl Otto Pöhl,Alexandre Lamfalussy,6
Mariano Rubio,Alexandre Lamfalussy,0
Maurice F. Doyle,Alexandre Lamfalussy,1
Miguel Boyer,Alexandre Lamfalussy,1
Niels Thygesen,Alexandre Lamfalussy,1
Pierre Jaans,Alexandre Lamfalussy,2
Robin Leigh-Pemberton,Alexandre Lamfalussy,1
Wim Duisenberg,Alexandre Lamfalussy,2
?,Carlo Azeglio Ciampi,0
Alexandre Lamfalussy,Carlo Azeglio Ciampi,0
Carlo Azeglio Ciampi,Carlo Azeglio Ciampi,0
Demetrios Chalikias,Carlo Azeglio Ciampi,0
Erik Hoffmeyer,Carlo Azeglio Ciampi,0
Frans Andriessen,Carlo Azeglio Ciampi,0
Jacques Delors,Carlo Azeglio Ciampi,1
Jacques de Larosière,Carlo Azeglio Ciampi,3
Jean Godeaux,Carlo Azeglio Ciampi,1
José Alberto Tavares Moreira,Carlo Azeglio Ciampi,0
Karl Otto Pöhl,Carlo Azeglio Ciampi,3
Mariano Rubio,Carlo Azeglio Ciampi,1
Maurice F. Doyle,Carlo Azeglio Ciampi,1
Miguel Boyer,Carlo Azeglio Ciampi,1
Niels Thygesen,Carlo Azeglio Ciampi,1
Pierre Jaans,Carlo Azeglio Ciampi,0
Robin Leigh-Pemberton,Carlo Azeglio Ciampi,1
Wim Duisenberg,Carlo Azeglio Ciampi,1
?,Demetrios Chalikias,0
Alexandre Lamfalussy,Demetrios Chalikias,0
Carlo Azeglio Ciampi,Demetrios Chalikias,0
Demetrios Chalikias,Demetrios Chalikias,0
Erik Hoffmeyer,Demetrios Chalikias,0
Frans Andriessen,Demetrios Chalikias,0
Jacques Delors,Demetrios Chalikias,0
Jacques de Larosière,Demetrios Chalikias,0
Jean Godeaux,Demetrios Chalikias,0
José Alberto Tavares Moreira,Demetrios Chalikias,0
Karl Otto Pöhl,Demetrios Chalikias,0
Mariano Rubio,Demetrios Chalikias,0
Maurice F. Doyle,Demetrios Chalikias,0
Miguel Boyer,Demetrios Chalikias,0
Niels Thygesen,Demetrios Chalikias,0
Pierre Jaans,Demetrios Chalikias,0
Robin Leigh-Pemberton,Demetrios Chalikias,0
Wim Duisenberg,Demetrios Chalikias,0
?,Erik Hoffmeyer,0
Alexandre Lamfalussy,Erik Hoffmeyer,0
Carlo Azeglio Ciampi,Erik Hoffmeyer,0
Demetrios Chalikias,Erik Hoffmeyer,0
Erik Hoffmeyer,Erik Hoffmeyer,0
Frans Andriessen,Erik Hoffmeyer,0
Jacques Delors,Erik Hoffmeyer,1
Jacques de Larosière,Erik Hoffmeyer,5
Jean Godeaux,Erik Hoffmeyer,0
José Alberto Tavares Moreira,Erik Hoffmeyer,0
Karl Otto Pöhl,Erik Hoffmeyer,4
Mariano Rubio,Erik Hoffmeyer,0
Maurice F. Doyle,Erik Hoffmeyer,1
Miguel Boyer,Erik Hoffmeyer,0
Niels Thygesen,Erik Hoffmeyer,3
Pierre Jaans,Erik Hoffmeyer,0
Robin Leigh-Pemberton,Erik Hoffmeyer,1
Wim Duisenberg,Erik Hoffmeyer,1
?,Frans Andriessen,0
Alexandre Lamfalussy,Frans Andriessen,1
Carlo Azeglio Ciampi,Frans Andriessen,0
Demetrios Chalikias,Frans Andriessen,0
Erik Hoffmeyer,Frans Andriessen,0
Frans Andriessen,Frans Andriessen,0
Jacques Delors,Frans Andriessen,1
Jacques de Larosière,Frans Andriessen,0
Jean Godeaux,Frans Andriessen,1
José Alberto Tavares Moreira,Frans Andriessen,0
Karl Otto Pöhl,Frans Andriessen,0
Mariano Rubio,Frans Andriessen,0
Maurice F. Doyle,Frans Andriessen,0
Miguel Boyer,Frans Andriessen,0
Niels Thygesen,Frans Andriessen,0
Pierre Jaans,Frans Andriessen,0
Robin Leigh-Pemberton,Frans Andriessen,0
Wim Duisenberg,Frans Andriessen,1
?,Jacques Delors,0
Alexandre Lamfalussy,Jacques Delors,3
Carlo Azeglio Ciampi,Jacques Delors,1
Demetrios Chalikias,Jacques Delors,0
Erik Hoffmeyer,Jacques Delors,1
Frans Andriessen,Jacques Delors,2
Jacques Delors,Jacques Delors,5
Jacques de Larosière,Jacques Delors,7
Jean Godeaux,Jacques Delors,2
José Alberto Tavares Moreira,Jacques Delors,0
Karl Otto Pöhl,Jacques Delors,23
Mariano Rubio,Jacques Delors,1
Maurice F. Doyle,Jacques Delors,3
Miguel Boyer,Jacques Delors,5
Niels Thygesen,Jacques Delors,2
Pierre Jaans,Jacques Delors,0
Robin Leigh-Pemberton,Jacques Delors,7
Wim Duisenberg,Jacques Delors,7
?,Jacques de Larosière,0
Alexandre Lamfalussy,Jacques de Larosière,3
Carlo Azeglio Ciampi,Jacques de Larosière,2
Demetrios Chalikias,Jacques de Larosière,0
