Source,Target
Jacques Delors,BIS
Jacques Delors,Committee
Jacques Delors,BIS
Jacques Delors,BIS
Karl Otto Pöhl,
Jacques Delors,Committee
Maurice F. Doyle,
Jacques Delors,
Karl Otto Pöhl,the Council of Ministers
Jacques Delors,the European Parliament
Jacques Delors,Committee
Jacques Delors,the Committee of Governors
Jacques Delors,the European Council
Jacques Delors,the Committee for European Monetary Union
Jacques Delors,Co-Chairman
Jacques Delors,the Executive Secretariat of his Committee
Jacques Delors,the Committee of Governors
Wim Duisenberg,Committee
Karl Otto Pöhl,
Jacques Delors,Bundesbank
Jacques Delors,Committee
Jacques Delors,Committee
Jacques Delors,the Werner Report
Robin Leigh-Pemberton,EMU
Wim Duisenberg,monetary union
Wim Duisenberg,the Council of Ministers
Wim Duisenberg,FECOM
Wim Duisenberg,Community
Miguel Boyer,the Werner Report
Miguel Boyer,European Central Bank
Miguel Boyer,the European Monetary System
Carlo Azeglio Ciampi,
Karl Otto Pöhl,the Werner Report
Karl Otto Pöhl,the European Central Bank
Karl Otto Pöhl,the Werner Report
Karl Otto Pöhl,the Werner Report
Mariano Rubio,Community
Mariano Rubio,Community
Mariano Rubio,the European Monetary System
Jacques de Larosière,the Werner Report
Jacques de Larosière,the Werner Report
Jacques de Larosière,the Werner Report
Jacques de Larosière,EMCF
Jacques de Larosière,Council
Erik Hoffmeyer,the Werner Report
Erik Hoffmeyer,the Werner Report
Erik Hoffmeyer,Padoa-Schioppa
Demetrios Chalikias,ERM
Niels Thygesen,the Werner Report
Niels Thygesen,Community
Niels Thygesen,Community
Niels Thygesen,the Werner Report
Niels Thygesen,the European Monetary System
Niels Thygesen,the Werner Report
Niels Thygesen,Committee
Niels Thygesen,Committee
Karl Otto Pöhl,EMS
Karl Otto Pöhl,Community
Karl Otto Pöhl,European Central Bank
Karl Otto Pöhl,EMS
Karl Otto Pöhl,State
Miguel Boyer,the Werner Report
Karl Otto Pöhl,European Central Bank
Karl Otto Pöhl,State
Karl Otto Pöhl,the Werner Report
Jacques Delors,the Giscard d'Estaing Group
Jacques Delors,Community
Jacques Delors,Community
Jacques Delors,European Central Bank
Jacques Delors,the European Monetary System
Jacques Delors,the Committee of Governors
Jacques Delors,EMS
Jacques Delors,EMS
Jacques Delors,the Werner Report
Jacques Delors,European Central Bank
Jacques Delors,Community
Jacques Delors,the European Central Bank
Jacques Delors,EMS
Jacques Delors,Committee
Jacques de Larosière,BIS
Jacques Delors,Community
Jacques Delors,Community
Jacques Delors,EU
Jacques Delors,EU
Jacques Delors,the European Commission
Jacques Delors,Community
Jacques Delors,Commission
Jacques Delors,Community
Jacques Delors,IMHO
Jacques Delors,Commission
Jacques Delors,the Economic and Monetary Union Committee
Jacques Delors,Community
Jacques Delors,VAT
Jacques Delors,VAT
Jacques Delors,Community
Jacques Delors,the European Union
Jacques Delors,the European Council
Jacques Delors,the European Commission
Jacques Delors,the Council of Economic and Finance Ministers
Robin Leigh-Pemberton,Community
Robin Leigh-Pemberton,Community
Maurice F. Doyle,EEC
Maurice F. Doyle,Community
Maurice F. Doyle,Community
Maurice F. Doyle,Community
Karl Otto Pöhl,Schleswig-Holstein
Karl Otto Pöhl,Bundesbank
Maurice F. Doyle,Karl-Otto
Maurice F. Doyle,Community
Miguel Boyer,Commonwealth
Miguel Boyer,OECD
Miguel Boyer,Community
Miguel Boyer,Community
Jean Godeaux,the European Monetary System
Jean Godeaux,Community
Jean Godeaux,Uncertainties
Jean Godeaux,Eliminate intra-Community
Jacques Delors,Community
Jacques Delors,the European Council
Jacques Delors,Community
Jacques Delors,social Community
Jacques Delors,Community
Jacques Delors,Community
Jacques Delors,EU
Alexandre Lamfalussy,
Robin Leigh-Pemberton,Community
Robin Leigh-Pemberton,Community
Robin Leigh-Pemberton,Community
Robin Leigh-Pemberton,Community
Jacques Delors,the European Council
Jacques Delors,the White Paper
Jacques Delors,the European Monetary System
Jacques Delors,the European Monetary System Treaty
Jacques Delors,the Commission
Jacques Delors,Commission
Jacques Delors,the European Council
Jacques Delors,the Council of Ministers
Jacques Delors,the Council of Ministers
Jacques de Larosière,Community
Jacques de Larosière,Confederate
Wim Duisenberg,the monetary authority
Wim Duisenberg,Community
Jacques Delors,State
Jacques Delors,Community
Jacques Delors,Community
Jacques Delors,the Committee of Governors
Jacques Delors,the Monetary Committee
Jacques Delors,the Committee of Governors
Jacques Delors,the Monetary Committee
Karl Otto Pöhl,the Committee of EEC Central Bank Governors
Erik Hoffmeyer,Bundesbank
Karl Otto Pöhl,EEC
Karl Otto Pöhl,the Central Bank Council
Karl Otto Pöhl,the Central Bank Council
Erik Hoffmeyer,
Karl Otto Pöhl,the Committee in Basel -
Karl Otto Pöhl,Council
